input,intent,response
hello,greeting,Hello! How can I help you today?
hi,greeting,Hello! How can I help you today?
hey,greeting,Hello! How can I help you today?
good morning,greeting,Hello! How can I help you today?
good evening,greeting,Hello! How can I help you today?
hey there,greeting,Hello! How can I help you today?
greetings,greeting,Hello! How can I help you today?
hi there,greeting,Hello! How can I help you today?
bye,farewell,Goodbye! Have a wonderful day.
goodbye,farewell,Goodbye! Have a wonderful day.
see you,farewell,Goodbye! Have a wonderful day.
cya,farewell,Goodbye! Have a wonderful day.
good night,farewell,Goodbye! Have a wonderful day.
i have to go,farewell,Goodbye! Have a wonderful day.
talk to you later,farewell,Goodbye! Have a wonderful day.
who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
are you a bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
what are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
how are you,wellbeing,I'm functioning perfectly. How can I help you?
how is it going,wellbeing,I'm functioning perfectly. How can I help you?
how are things,wellbeing,I'm functioning perfectly. How can I help you?
how do you feel,wellbeing,I'm functioning perfectly. How can I help you?
what's up,wellbeing,I'm functioning perfectly. How can I help you?
what can you do,capabilities,I can answer questions and chat with you.
help me,capabilities,I can answer questions and chat with you.
what are your features,capabilities,I can answer questions and chat with you.
how do you work,capabilities,I can answer questions and chat with you.
thanks,gratitude,You are very welcome!
thank you,gratitude,You are very welcome!
thx,gratitude,You are very welcome!
thanks a lot,gratitude,You are very welcome!
appreciate it,gratitude,You are very welcome!
you are smart,compliment,Thank you! I appreciate the positive feedback.
good job,compliment,Thank you! I appreciate the positive feedback.
well done,compliment,Thank you! I appreciate the positive feedback.
you are amazing,compliment,Thank you! I appreciate the positive feedback.
nice work,compliment,Thank you! I appreciate the positive feedback.
you are stupid,insult,I apologize if I disappointed you. I am still learning.
you are dumb,insult,I apologize if I disappointed you. I am still learning.
bad bot,insult,I apologize if I disappointed you. I am still learning.
useless,insult,I apologize if I disappointed you. I am still learning.
you suck,insult,I apologize if I disappointed you. I am still learning.
i love you,love,That is very kind of you to say!
i like you,love,That is very kind of you to say!
will you marry me,love,That is very kind of you to say!
you are cute,love,That is very kind of you to say!
i dont understand,confusion,I apologize. Let me try to be clearer.
what do you mean,confusion,I apologize. Let me try to be clearer.
can you explain,confusion,I apologize. Let me try to be clearer.
i am confused,confusion,I apologize. Let me try to be clearer.
ok what's up today,wellbeing,I'm functioning perfectly. How can I help you?
hey what are you buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually what do you mean friend,confusion,I apologize. Let me try to be clearer.
umm useless,insult,I apologize if I disappointed you. I am still learning.
i like you sir,love,That is very kind of you to say!
